label,app_name,total_methods,version_code,file_size_kb,num_files,package_name,version_name,num_receivers,num_intents,num_services,num_permissions,num_activities,has_native_code,num_providers
1,1371,40831,2.0,2919.666015625,612,698,0,1,7,0,5,5,0,0
1,1393,55018,45.0,35753.5986328125,1300,703,0,4,5,11,14,8,0,1
1,1283,33525,14.0,5165.4658203125,847,704,0,1,12,1,10,22,0,0
1,1119,1793,3.0,2217.705078125,210,706,0,1,2,1,7,4,0,0
1,285,44361,35301.0,5298.9580078125,1048,707,0,9,10,8,13,12,0,1
1,1516,42671,72.0,10499.7451171875,1269,708,0,4,2,7,22,13,0,0
1,1522,57836,130.0,7797.515625,1945,709,0,5,5,19,14,28,0,7
1,284,15556,2126.0,4887.4775390625,738,710,0,11,2,1,9,10,0,0
1,283,64361,1060604.0,13093.0380859375,1411,711,0,6,18,3,34,30,0,0
1,980,13858,1.0,752.556640625,16,712,0,0,2,0,2,2,0,0
1,1710,26236,31.0,11251.6513671875,439,714,0,0,2,1,11,9,0,0
1,354,29345,17.0,5124.1767578125,681,715,0,3,6,1,10,35,1,0
1,288,17900,1.0,11789.7177734375,370,246,0,1,2,2,13,8,1,0
1,306,42217,10.0,3776.3544921875,570,716,0,0,2,0,6,8,0,0
1,381,17027,1.0,15429.3427734375,713,719,0,1,136,14,18,68,0,0
1,303,3422,1.0,444.044921875,59,721,0,0,3,0,6,3,0,0
1,314,49284,75.0,11327.5546875,1974,723,0,7,23,6,40,43,0,1
1,33,35016,159.0,16530.7646484375,1147,724,0,3,55,4,24,30,0,2
1,315,59680,2000024.0,29875.255859375,698,725,0,2,2,4,11,12,1,0
1,404,32613,2.0,2949.63671875,556,726,0,1,2,1,3,13,0,0
1,319,42921,18.0,17929.482421875,716,729,0,0,4,0,6,7,1,1
1,327,27675,30.0,6801.2041015625,991,737,0,0,4,0,10,93,0,0
1,1501,15160,3.0,17343.76171875,47,739,0,0,2,0,9,1,1,0
1,1005,30950,2.0,15015.5126953125,498,740,0,0,3,2,11,5,1,0
1,1146,30795,431.0,9664.697265625,1943,741,0,12,24,12,9,51,1,1
1,1514,23245,2.0,1325.0244140625,25,742,0,4,2,1,8,3,0,0
1,1712,46132,20203.0,4874.55078125,681,743,0,2,4,4,13,14,0,1
1,704,9876,1.0,46214.2412109375,255,744,0,0,2,0,3,4,1,0
1,1195,60963,41312.0,20275.15625,3029,745,0,4,6,5,11,59,1,2
1,485,35684,16.0,10886.96875,191,748,0,0,5,0,4,3,0,0
1,524,24035,124365.0,50098.4970703125,243,752,0,3,4,1,9,4,1,0
1,1616,52681,43.0,3840.3876953125,322,753,0,0,2,0,8,14,0,0
1,338,25481,80406.0,5415.033203125,1514,754,0,2,2,2,7,19,0,0
1,1171,9089,2.0,1565.3037109375,206,756,0,0,4,1,3,8,0,0
1,514,38590,1.0,7700.650390625,359,757,0,1,2,1,8,9,0,0
1,1397,22303,1546.0,6300.3857421875,1272,761,0,0,72,0,6,37,0,0
1,592,55759,2.0,5301.583984375,896,762,0,7,8,6,12,32,0,0
1,549,2875,1.0,6009.0927734375,1511,763,0,0,2,0,2,1,1,0
1,341,60018,203.0,7502.138671875,1078,765,0,0,31,0,10,19,0,0
1,348,31751,170.0,4001.5048828125,828,768,0,1,6,0,7,15,0,0
1,420,28156,36.0,17010.537109375,532,769,0,4,6,2,10,13,1,0
1,736,15228,1.0,4151.826171875,217,770,0,2,4,2,2,2,0,0
1,1226,15228,1.0,3952.146484375,213,771,0,2,4,2,2,2,0,0
1,1746,14396,20150209.0,3284.2275390625,365,772,0,8,3,4,18,2,1,1
1,723,16089,116.0,6047.0849609375,730,773,0,14,24,7,31,38,0,1
1,409,63667,11408.0,40188.6337890625,1295,774,0,3,4,2,6,28,0,0
1,1594,42138,3.0,5438.625,2390,778,0,1,2,1,13,13,0,0
1,1894,7680,16.0,2650.6513671875,169,780,0,2,3,2,12,4,0,0
1,819,18314,11.0,4107.1708984375,234,781,0,0,2,0,2,5,0,0
1,342,42747,4.0,30907.986328125,714,783,0,1,5,1,17,13,0,0
1,344,18127,42.0,10367.3837890625,1316,787,0,1,2,1,12,117,1,1
1,345,53666,2.0,6886.1591796875,271,247,0,3,3,3,14,3,1,0
1,346,53666,15.0,7138.6005859375,271,788,0,3,3,3,15,3,1,0
1,347,43682,142.0,21500.78125,3819,789,0,6,3,3,15,33,1,0
1,1430,31961,1.0,2211.037109375,191,791,0,0,2,0,3,3,0,0
1,316,1549,1.0,1885.2744140625,14,792,0,0,2,0,4,1,0,0
1,349,72708,71.0,16320.7470703125,2620,793,0,5,15,5,13,60,1,0
1,352,15627,11.0,2956.9130859375,614,794,0,5,2,3,15,3,0,0
1,335,22192,10124.0,11702.1279296875,809,795,0,5,3,3,19,34,1,0
1,573,49827,4272.0,20934.5615234375,1548,796,0,5,3,2,14,39,1,3
1,950,13257,15.0,3129.435546875,123,799,0,1,2,1,7,1,1,0
1,1508,40374,18.0,31047.775390625,371,800,0,1,2,1,5,10,1,0
1,362,38945,34.0,6190.5244140625,882,804,0,3,2,1,4,13,0,0
1,359,18820,10.0,8664.689453125,467,806,0,0,2,0,4,10,0,0
1,363,26785,4280.0,2164.3837890625,486,248,0,0,2,0,6,10,0,0
1,888,46873,2001280900.0,50153.349609375,1003,810,0,5,3,4,10,4,1,1
1,1176,30806,23.0,2281.046875,239,811,0,0,2,0,6,8,1,0
1,1759,39282,1.0,3192.5302734375,273,812,0,3,2,3,10,10,1,0
1,366,42080,36.0,7941.025390625,1929,815,0,1,6,2,16,41,0,0
1,12,50671,25.0,10350.74609375,732,816,0,1,2,1,7,2,0,0
1,1050,4448,110.0,493.15234375,85,817,0,3,22,1,2,23,0,0
1,370,43703,2272057.0,31068.2236328125,1905,819,0,15,7,38,28,26,1,5
1,293,38399,1.0,3147.96484375,272,820,0,3,2,3,10,10,1,0
1,911,41338,1.0,3879.505859375,429,821,0,0,2,0,8,9,0,0
1,294,62196,4028.0,7691.7880859375,1816,823,0,5,5,4,24,42,0,0
1,211,21784,14012.0,3597.2822265625,567,824,0,0,3,0,14,40,0,1
1,295,58388,5.0,5318.806640625,1301,826,0,7,3,3,8,39,0,1
1,81,27764,285.0,11751.169921875,324,827,0,0,2,0,10,10,1,0
1,372,42342,33.0,7401.869140625,1748,829,0,3,3,2,15,16,0,0
1,137,16586,67.0,11739.70703125,578,830,0,5,59,3,9,33,1,1
1,788,7940,481.0,13339.4404296875,294,831,0,0,3,1,10,5,1,0
1,373,31948,700119.0,11948.4345703125,1950,832,0,7,11,8,28,22,1,0
1,97,33887,19.0,2056.9501953125,152,833,0,3,2,2,5,5,0,0
1,528,31700,17.0,9476.3466796875,1491,834,0,6,6,2,8,15,0,0
1,642,26681,44.0,9119.470703125,1189,835,0,4,7,4,16,15,1,0
1,641,26338,1308.0,10317.181640625,1170,836,0,4,4,4,10,13,1,0
1,330,27994,24.0,2141.47265625,192,837,0,0,2,0,2,3,0,0
1,310,20417,8.0,2113.7060546875,201,838,0,0,2,0,2,3,0,0
1,504,20417,8.0,2045.3857421875,201,839,0,0,2,0,2,3,0,0
1,693,20417,15.0,1926.21875,200,840,0,0,2,0,2,3,0,0
1,1025,20417,8.0,2017.466796875,200,841,0,0,2,0,2,3,0,0
1,1145,20417,8.0,2027.7099609375,201,842,0,0,2,0,2,3,0,0
1,1504,20417,11.0,2056.0283203125,203,843,0,0,2,0,2,3,0,0
1,1571,20417,8.0,2041.3515625,201,844,0,0,2,0,2,3,0,0
1,1651,20417,8.0,2000.6591796875,200,845,0,0,2,0,2,3,0,0
1,1415,20417,8.0,1976.9541015625,201,846,0,0,2,0,2,3,0,0
1,456,20419,16.0,2020.978515625,203,847,0,0,2,0,2,3,0,0
1,1116,20417,7.0,2016.3837890625,200,848,0,0,2,0,2,3,0,0
1,1482,20417,14.0,1742.6533203125,196,849,0,0,2,0,2,3,0,0
1,1367,12522,1.0,1044.076171875,393,853,0,0,2,0,1,2,0,0
1,379,29549,30100.0,7524.244140625,1047,855,0,2,3,5,14,48,0,0
1,379,12439,14.0,2504.7373046875,490,856,0,0,2,0,9,9,0,0
1,904,31686,10001007.0,5328.2548828125,1347,859,0,8,3,7,41,18,1,2
1,382,57924,50941571.0,13381.66796875,3192,860,0,30,21,18,34,185,1,5
1,298,72255,20431045.0,8387.0615234375,2312,861,0,25,13,14,60,151,1,9
1,546,55977,40.0,9523.53125,147,867,0,0,5,0,6,11,1,0
1,1258,2866,132.0,8445.3447265625,836,868,0,0,2,0,0,142,0,0
1,385,33211,18.0,15277.7626953125,730,869,0,1,3,1,14,26,0,0
1,386,44642,126.0,19072.4111328125,3372,870,0,6,6,14,18,41,1,1
1,172,15105,49.0,1845.23046875,59,971,0,1,3,1,6,21,0,0
1,248,64428,81.0,5054.85546875,787,972,0,2,5,4,17,13,0,2
1,371,12372,10100020.0,7582.8642578125,784,973,0,0,5,0,11,15,0,0
1,380,17104,10300000.0,14394.7333984375,884,974,0,0,8,1,7,12,0,0
1,554,2937,35.0,326.6337890625,108,975,0,2,8,2,6,8,0,2
1,562,25116,2015107000.0,15521.814453125,2359,976,0,8,4,7,20,10,0,1
1,698,45,512.0,780.611328125,297,977,0,0,3,0,0,1,0,0
1,753,43934,5612067.0,17327.494140625,2655,978,0,1,6,6,22,15,1,3
1,650,7626,41.0,1433.4345703125,400,979,0,3,2,2,11,5,0,1
1,1517,21444,31001662.0,18200.482421875,1045,980,0,3,4,4,9,11,1,0
1,645,23317,211.0,2789.3623046875,726,981,0,3,9,2,9,35,1,2
1,1048,49597,2820.0,10489.0166015625,1993,982,0,4,10,6,18,27,1,2
1,1431,33162,101714.0,6666.310546875,1317,983,0,1,3,0,5,4,1,0
1,1056,45180,85.0,7725.505859375,720,984,0,4,9,5,26,25,0,2
1,652,3561,1112.0,2212.0419921875,140,985,0,0,4,0,5,6,0,1
1,1285,16440,557720.0,3873.203125,270,986,0,1,2,3,8,1,0,0
1,336,56289,25.0,9123.8466796875,253,988,0,0,14,1,8,12,1,0
1,215,3294,103.0,787.5771484375,133,989,0,0,10,0,9,9,0,0
1,1688,1002,10.0,168.5537109375,12,990,0,0,2,0,1,2,0,0
1,640,39892,312.0,10183.404296875,1224,992,0,4,4,11,13,28,1,1
1,1576,16778,64.0,14898.048828125,689,993,0,1,11,2,4,17,1,1
1,414,42867,109004222.0,4330.400390625,1006,994,0,7,13,3,13,24,0,0
1,1072,58686,1110518.0,31199.2109375,3532,995,0,12,22,4,18,142,1,1
1,643,12638,7.0,1861.2490234375,142,996,0,1,2,1,10,6,0,0
1,192,20498,2.0,1517.10546875,204,997,0,0,2,0,3,3,0,0
1,913,30617,1.0,2608.08984375,202,998,0,1,3,1,5,5,0,0
1,1720,30071,18.0,2019.7490234375,190,1001,0,0,3,0,3,8,0,0
1,657,38671,45.0,2741.06640625,375,1002,0,0,6,1,4,12,1,0
1,530,18364,3.0,14280.400390625,930,1003,0,5,3,18,9,14,1,4
1,786,43223,2.0,6502.9326171875,783,1004,0,5,3,18,9,14,1,4
1,1102,42226,1.0,15152.98046875,622,1005,0,1,6,2,16,54,0,0
1,21,42227,4.0,15305.20703125,624,1006,0,1,6,2,15,54,0,0
1,658,41270,4.0,8589.6337890625,987,1007,0,0,10,0,6,5,0,0
1,720,13923,1.0,1013.11328125,260,1008,0,0,2,0,1,2,0,0
1,1299,51821,12.0,20621.36328125,260,1009,0,4,2,1,13,9,1,0
1,659,56923,2599.0,12164.4736328125,1083,1010,0,7,19,3,15,43,1,0
1,660,63317,178.0,12454.876953125,2439,1011,0,8,18,12,17,54,0,0
1,662,42397,53039.0,11789.8466796875,3105,1012,0,7,15,11,24,45,1,1
1,663,58509,3883.0,14103.5068359375,2942,1013,0,16,20,16,19,94,1,1
1,1153,20771,27.0,3637.64453125,221,1014,0,0,7,0,4,4,1,0
1,1670,10284,7.0,1405.9775390625,427,1015,0,0,2,0,4,4,0,0
1,1454,23033,136.0,2623.4765625,206,1016,0,2,2,1,15,16,0,0
1,867,45385,10403104.0,40129.41796875,2521,1017,0,3,2,0,22,13,1,0
1,1685,10784,3.0,949.138671875,213,1018,0,1,4,2,35,21,0,1
1,1108,56634,101.0,15728.65234375,1885,1019,0,12,20,6,40,81,1,4
1,665,42374,205.0,11370.9609375,1366,1021,0,8,6,16,14,28,1,0
1,488,55390,100.0,10941.9677734375,2889,1022,0,9,9,3,13,69,0,1
1,1465,57326,101.0,12294.3984375,2942,1023,0,9,9,3,13,71,0,1
1,1519,59825,110.0,20762.8974609375,2963,1024,0,9,9,3,13,69,0,1
1,926,12584,2.0,1456.712890625,378,1026,0,0,2,0,0,9,0,0
1,923,10604,20001.0,1308.2119140625,1187,1028,0,3,3,0,4,23,0,0
1,690,20036,1.0,9919.99609375,217,254,0,0,3,0,4,6,0,0
1,691,20880,1.0,7752.1201171875,217,255,0,0,3,0,4,6,0,0
1,1716,31304,810.0,3891.6875,686,1067,0,1,3,1,20,16,0,1
1,1777,36362,1102.0,11053.6328125,572,1068,0,0,2,0,4,7,1,0
1,1324,2332,29.0,2316.2978515625,271,1069,0,0,2,0,6,24,0,0
1,1325,16214,31.0,1953.1962890625,311,1070,0,0,2,0,8,25,0,0
1,782,58348,251.0,5543.1240234375,1132,1071,0,3,7,6,10,19,0,0
1,700,21022,1.0,10087.5830078125,177,1072,0,0,2,0,8,8,0,0
1,89,20128,31.0,3556.8330078125,874,1073,0,0,28,0,7,17,0,1
1,309,4568,11.0,375.4560546875,62,1074,0,4,2,3,4,5,0,1
1,395,21978,1.0,14616.7880859375,641,1075,0,0,2,1,8,12,0,0
1,115,33476,36.0,16554.439453125,1262,1077,0,8,5,3,14,6,1,0
1,959,4618,4.0,3194.0517578125,63,1078,0,0,2,0,3,13,0,0
1,1206,30932,230.0,17423.154296875,992,1079,0,5,9,11,12,23,1,0
1,1352,21647,2.0,23699.728515625,193,1080,0,1,2,0,5,6,1,0
1,1191,21876,2015021310.0,3625.5830078125,575,1081,0,1,17,0,6,16,1,1
1,158,15948,10.0,4167.384765625,296,1082,0,2,2,2,10,10,0,3
1,749,1112,524.0,500.822265625,61,1083,0,2,14,3,8,8,1,0
1,1103,11959,2.0,1731.9775390625,157,1085,0,0,2,0,4,3,0,0
1,543,20701,1.0,1959.224609375,167,1086,0,0,5,0,4,9,1,0
1,1719,39888,23.0,7532.6171875,1300,1087,0,2,3,1,14,43,0,1
1,1636,15363,4.0,1311.525390625,125,1089,0,0,2,0,2,2,0,0
1,470,13567,3.0,4173.7333984375,149,1090,0,3,2,3,12,3,0,0
