filename,package_name,app_name,version_code,version_name,num_permissions,num_activities,num_services,num_receivers,num_providers,num_intents,total_methods,has_native_code,file_size_kb,num_files
2c5f158e2be5b0a67fe7378d6cff0d2d.apk,com.os7.launcher.theme,Os7 Launcher,94,Unknown,23,16,7,6,1,3,51723,1,4613.54296875,414
2e34a05a8dbd10579ec745872ebdecad.apk,com.bobby.carrothd,Bobby Carrot - HD,1,Unknown,13,10,5,6,0,2,24035,1,16474.4951171875,149
7fcfb3327f7593c3b579c1d5e45d44dd.apk,com.crazystudio.mms7.imessager,iMessaging OS,128,Unknown,30,57,12,15,2,21,62866,1,12903.572265625,2104
a73f6b0e4b6497757208e5d302554fee.apk,unlock.blow.blowtounlockpro,Blow To Unlock Pro,56,Unknown,11,5,3,5,0,2,26234,0,3384.5654296875,18
aa5fe233d1e080f3ebe4b1968fa53fda.apk,com.camera.iphone,IosCamera,16000,Unknown,18,11,5,7,0,2,50624,1,4539.3857421875,113
b92b038965bdcd9ae3b91679f7cd3ab6.apk,photo.photoblender.photocollage.photopro,Photo Blender Insta,22,Unknown,11,16,2,4,0,3,48026,0,26831.951171875,1638
00cf4e209bb1719646f5309e0b5c1583.apk,com.newskin.tai,Tai,1018,Unknown,40,24,13,9,1,5,66419,1,6755.84765625,875
00fbcc473c451ac5baa52246a7aed0ce.apk,com.newskin.gun,Gun,1018,Unknown,40,24,13,9,1,5,66419,1,6932.6015625,875
03d4af908c194c4492e57b986a52d9b9.apk,com.newskin.floraandfauna,flora and fauna,1018,Unknown,40,24,13,9,1,5,66419,1,6774.6865234375,875
08026e2b63ec51cb36bc6cff00c28909.apk,com.dotc.ime.latin.flash,Flash Keyboard,10124,Unknown,79,98,38,31,4,14,126904,1,32484.91796875,4619
090f717dec14c0198e6c235accee7cd0.apk,mobi.supo.optimizer,SUPO Optimizer,86,Unknown,87,95,39,31,2,5,102637,1,9790.6689453125,1837
094f67a3a682a0cd4305d720cc786e00.apk,com.dotc.ime.latin.flash,Flash Keyboard,10128,Unknown,79,98,38,31,4,14,126525,1,32504.650390625,4625
0c029418165cc8a7fbb25de0f37b720d.apk,com.ACrwfX.EjmIiM.tckDCu,,1,Unknown,6,1,1,1,0,2,741,0,67.068359375,11
0dc29a73d74be55df4c84e26ee31b716.apk,com.newskin.fireskeleton,Fire Skeleton,1017,Unknown,40,24,13,9,1,5,66416,1,7248.896484375,875
11517a3faa093728a24a3b7f044bf9c2.apk,com.newskin.sponge,Sponge,1018,Unknown,40,24,13,9,1,5,66419,1,6496.0712890625,875
11521e42f4ed27605dfab6aab6d7f06e.apk,com.newskin.candy,Candy,1018,Unknown,40,24,13,9,1,5,66419,1,6672.9775390625,875
14292932679d6930f521a21de4e8bffd.apk,com.xime.latin.lite,Flash Emoji Keyboard,1074,Unknown,79,100,39,31,4,14,126869,1,32088.505859375,4654
161a51d8e66dfd5b0d7a290e0eb29036.apk,com.newskin.lion,Lion,1018,Unknown,40,24,13,9,1,5,66419,1,6860.828125,875
168aa2734efba288e4025275ab1dec3c.apk,com.newskin.earth,Earth,1018,Unknown,40,24,13,9,1,5,66419,1,6731.4609375,875
199cf86600c9e7a518ac9f1795b307c7.apk,mobi.escapemobile.game.soda_monster_defender,Soda Monster Defender,16,Unknown,16,14,0,8,0,2,44307,1,30976.0380859375,432
19ae2cd63c8ea0b6e5cb68b4af96ca9e.apk,com.newskin.future,Future,1018,Unknown,40,24,13,9,1,5,66419,1,6903.109375,875
1f0f79475e428c84aa26e51fef472f3b.apk,com.newskin.panda,Panda,1017,Unknown,40,24,13,9,1,5,66416,1,6591.6953125,875
2299b0b039c1bc23ed0dc9abe0227435.apk,com.newskin.citynight,City Night,1018,Unknown,40,24,13,9,1,5,66419,1,7162.1845703125,875
028733be662b4c4b8b7f2676c2987411.apk,com.appaapps.softtoyalphabet2,Easy Soft Toy Alphabet 2,131121,Unknown,12,5,1,1,0,2,39582,0,5937.623046875,447
06dddec91d1efd55363aaab40b3ff2aa.apk,oviapps.videotrimmer,Video Trimmer,3,Unknown,11,5,1,0,0,4,4830,1,2834.654296875,16
070194b27034d592f62e98887489e00b.apk,com.shiwan.android.lol,1006视频for英雄联盟,65,Unknown,27,91,11,10,0,10,39173,1,26420.4951171875,985
0e06bbfdeb4a7c4bcf7f0a6fcfc6fa38.apk,com.dangdang.reader,当当读书,92,Unknown,29,97,9,7,0,9,38194,1,19724.7314453125,1483
1021f51f46879b802d3d40803dcd2fc5.apk,com.yidian.pregnancy,怀孕必备,6,Unknown,12,38,4,3,0,7,23417,0,3762.55078125,1021
17c290bc50f76292ebb10586babb8ac0.apk,com.awesome.football.play,AweFootball,1,Unknown,16,5,0,0,0,2,8166,0,11532.2841796875,739
18f0a4edf574a68346244b0e02cf8b88.apk,phot.effects.fun.photo_editing,Photo Effects n framing,3,Unknown,12,5,1,1,0,2,5196,0,3370.2646484375,54
1d2bd3908ab93ac56ba69019791e1a63.apk,com.vivchar.Goldfish,Goldfish,1,Unknown,12,6,4,3,0,2,11851,0,1597.921875,18
309fecc4cb7e80023ef83fd9ba75cfbb.apk,com.sakura.thelastlegend,The Last Legend,7,Unknown,3,1,0,0,0,2,13516,0,45500.0517578125,1525
3455aff554ef42c1fc41e4bcf6acebb7.apk,com.zimperium.zanti,zAnti,11,Unknown,12,43,4,9,0,2,8887,1,7220.064453125,414
02e38abd7ed8714ba37e30e21a334648.apk,ymezk.votfyo.maltest2,西瓜影院,60,Unknown,20,15,2,2,0,2,34040,1,2358.5400390625,169
