filename,package_name,app_name,version_code,version_name,num_permissions,num_activities,num_services,num_receivers,num_providers,num_intents,total_methods,has_native_code,file_size_kb,num_files
a.envisionmobile.caa.apk,a.envisionmobile.caa,CAA,28,Unknown,19,68,4,4,1,9,53814,1,12652.525390625,2328
air.com.adobe.connectpro.apk,air.com.adobe.connectpro,Connect,2006002,Unknown,10,1,0,0,0,3,3783,1,15917.7978515625,62
air.com.articulate.articulatemobileplayer.apk,air.com.articulate.articulatemobileplayer,Articulate,4000000,Unknown,4,1,0,0,0,3,3832,1,15680.46484375,91
air.com.ercangigi.sitesin3d.apk,air.com.ercangigi.sitesin3d,Sites in VR,6004000,Unknown,6,2,0,0,0,3,4026,1,23901.552734375,51
air.com.gamebrain.hocus.apk,air.com.gamebrain.hocus,hocus,1009009,Unknown,4,2,0,0,1,2,57550,1,22575.7412109375,584
air.com.hypah.io.slither.apk,air.com.hypah.io.slither,slither.io,1004008,Unknown,7,2,0,0,0,2,62272,1,20445.01953125,822
air.com.indiegoes.archangelmichael.apk,air.com.indiegoes.archangelmichael,Archangel Michael,1008000,Unknown,3,2,0,0,0,2,4060,1,21704.400390625,139
air.com.launchday.mobile.rocketleague.apk,air.com.launchday.mobile.rocketleague,LaunchDay - Rocket League Edition,1008000,Unknown,11,2,1,3,0,2,17920,1,27320.9248046875,320
air.com.nextlot.mobile.webcast.sekura.apk,air.com.nextlot.mobile.webcast.sekura,Team Sekura,2000001,Unknown,3,1,0,0,0,2,3664,1,16920.8564453125,56
air.com.playtika.slotomania.apk,air.com.playtika.slotomania,Slotomania,249000003,Unknown,12,5,2,3,1,3,41792,1,47302.0771484375,348
air.com.rosettastone.mobile.CoursePlayer.apk,air.com.rosettastone.mobile.CoursePlayer,Languages,2005000,Unknown,10,3,1,2,0,3,27493,1,36511.3798828125,357
air.com.screenpapermedia.basic.mobile.launchday.nba2k15.apk,air.com.screenpapermedia.basic.mobile.launchday.nba2k15,Launch Day Magazine - NBA2K15 Edition,1006004,Unknown,11,2,1,3,0,2,5082,1,15722.0126953125,106
air.com.starfall.more.apk,air.com.starfall.more,Starfall.com,1034005,Unknown,3,1,0,0,0,2,3769,1,37205.248046875,331
air.com.trailmapps.AND.skypilot.apk,air.com.trailmapps.AND.skypilot,Trail Map,2010000,Unknown,3,6,0,0,0,2,10251,0,12003.607421875,1306
air.com.yudu.ReaderAIR2902554.apk,air.com.yudu.ReaderAIR2902554,VK Mag,4028001,Unknown,5,2,0,1,0,2,5895,1,29102.03515625,112
